%Gustavo Aquino e Francisco Dog
%
%
%


@relation uvaroxa

@attribute selecionada {sim,nao}
@attribute tempoarmazenada {pouco,muito}
@attribute colheita {mecanica,manual}
@attribute solo {arenoso,semiseco,seco}
@attribute temperaturamedia numeric
@attribute maturacao {pouca,ponto,excessiva}
@attribute class {uvaboa,uvamedia,uvaruim}

@data
sim,pouco,mecanica,arenoso,15,ponto,uvaboa
nao,pouco,mecanica,arenoso,15,ponto,uvaboa
sim,pouco,mecanica,arenoso,16,ponto,uvaboa
nao,pouco,mecanica,arenoso,16,ponto,uvaboa
sim,pouco,mecanica,arenoso,17,ponto,uvaboa
nao,pouco,mecanica,arenoso,17,ponto,uvaboa
sim,pouco,mecanica,arenoso,18,ponto,uvaboa
nao,pouco,mecanica,arenoso,18,ponto,uvaboa
sim,pouco,mecanica,arenoso,19,ponto,uvaboa
nao,pouco,mecanica,arenoso,19,ponto,uvaboa
sim,pouco,mecanica,arenoso,20,ponto,uvaboa
nao,pouco,mecanica,arenoso,20,ponto,uvaboa
sim,pouco,mecanica,arenoso,21,ponto,uvaboa
nao,pouco,mecanica,arenoso,21,ponto,uvaboa
sim,pouco,mecanica,arenoso,22,ponto,uvaboa
nao,pouco,mecanica,arenoso,22,ponto,uvaboa
sim,pouco,mecanica,arenoso,23,ponto,uvaboa
nao,pouco,mecanica,arenoso,23,ponto,uvaboa
sim,pouco,mecanica,arenoso,24,ponto,uvaboa
nao,pouco,mecanica,arenoso,24,ponto,uvaboa
sim,pouco,mecanica,arenoso,25,ponto,uvaboa
nao,pouco,mecanica,arenoso,25,ponto,uvaboa
sim,pouco,mecanica,arenoso,26,ponto,uvaboa
nao,pouco,mecanica,arenoso,26,ponto,uvaboa
sim,pouco,mecanica,arenoso,27,ponto,uvaboa
nao,pouco,mecanica,arenoso,27,ponto,uvaboa
sim,pouco,mecanica,arenoso,28,ponto,uvaboa
nao,pouco,mecanica,arenoso,28,ponto,uvaboa
sim,pouco,mecanica,arenoso,29,ponto,uvaboa
nao,pouco,mecanica,arenoso,29,ponto,uvaboa
sim,muito,mecanica,arenoso,15,ponto,uvaboa
nao,muito,mecanica,arenoso,15,ponto,uvaboa
sim,muito,mecanica,arenoso,16,ponto,uvaboa
nao,muito,mecanica,arenoso,16,ponto,uvaboa
sim,muito,mecanica,arenoso,17,ponto,uvaboa
nao,muito,mecanica,arenoso,17,ponto,uvaboa
sim,muito,mecanica,arenoso,18,ponto,uvaboa
nao,muito,mecanica,arenoso,18,ponto,uvaboa
sim,muito,mecanica,arenoso,19,ponto,uvaboa
nao,muito,mecanica,arenoso,19,ponto,uvaboa
sim,muito,mecanica,arenoso,20,ponto,uvaboa
nao,muito,mecanica,arenoso,20,ponto,uvaboa
sim,muito,mecanica,arenoso,21,ponto,uvaboa
nao,muito,mecanica,arenoso,21,ponto,uvaboa
sim,muito,mecanica,arenoso,22,ponto,uvaboa
nao,muito,mecanica,arenoso,22,ponto,uvaboa
sim,muito,mecanica,arenoso,23,ponto,uvaboa
nao,muito,mecanica,arenoso,23,ponto,uvaboa
